iter	Passed	Remaining
157	903	2654
158	908	2644
159	913	2637
160	918	2629
161	923	2623
162	927	2610
163	934	2608
164	938	2599
165	947	2601
166	958	2610
167	968	2616
168	972	2608
169	985	2621
170	1009	2662
171	1019	2667
172	1030	2675
173	1041	2681
174	1053	2689
175	1058	2681
176	1064	2676
177	1069	2668
178	1080	2674
179	1086	2667
180	1093	2665
181	1098	2656
182	1102	2645
183	1110	2642
184	1114	2632
185	1119	2623
186	1123	2613
187	1128	2604
188	1132	2594
189	1136	2584
190	1140	2574
191	1144	2564
192	1149	2554
193	1156	2550
194	1161	2542
195	1166	2534
196	1169	2523
197	1174	2515
198	1178	2503
199	1182	2494
200	1185	2482
201	1189	2473
202	1192	2462
203	1197	2452
204	1200	2442
205	1204	2431
206	1211	2429
207	1216	2420
208	1219	2409
209	1224	2401
210	1227	2391
211	1231	2382
212	1235	2372
213	1241	2367
214	1245	2358
215	1250	2349
216	1253	2338
217	1257	2330
218	1262	2322
219	1265	2312
220	1271	2307
221	1278	2303
222	1282	2295
223	1287	2288
224	1293	2281
225	1297	2272
226	1308	2276
227	1312	2268
228	1317	2261
229	1325	2258
230	1330	2252
231	1335	2245
232	1342	2241
233	1348	2235
234	1352	2227
235	1358	2221
236	1369	2224
237	1376	2220
238	1381	2214
239	1387	2208
240	1391	2199
241	1394	2189
242	1399	2182
243	1405	2177
244	1411	2171
245	1414	2162
246	1419	2155
247	1424	2148
248	1428	2140
249	1431	2130
250	1437	2124
251	1440	2115
252	1444	2107
253	1448	2098
254	1453	2092
255	1456	2083
256	1460	2074
257	1463	2065
258	1469	2058
259	1472	2050
260	1476	2041
261	1479	2032
262	1485	2027
263	1488	2018
264	1492	2010
265	1496	2002
266	1501	1996
267	1504	1987
268	1508	1979
269	1511	1971
270	1516	1964
271	1520	1956
272	1523	1947
273	1528	1941
274	1533	1934
275	1536	1926
276	1540	1918
277	1544	1911
278	1549	1904
279	1552	1896
280	1556	1889
281	1559	1880
282	1564	1873
283	1567	1865
284	1571	1858
285	1575	1850
286	1579	1843
287	1583	1835
288	1586	1828
289	1590	1820
290	1594	1813
291	1598	1806
292	1602	1799
293	1605	1791
294	1609	1784
295	1614	1777
296	1618	1770
297	1621	1763
298	1625	1756
299	1629	1749
300	1634	1742
301	1637	1735
302	1641	1727
303	1644	1720
304	1649	1713
305	1652	1706
306	1656	1699
307	1659	1691
308	1664	1685
309	1667	1678
310	1671	1671
311	1674	1663
312	1679	1658
313	1683	1650
314	1686	1644
315	1690	1637
316	1695	1631
317	1699	1624
318	1702	1617
319	1706	1610
320	1710	1604
321	1714	1597
322	1718	1590
323	1721	1583
324	1726	1577
325	1729	1570
326	1733	1563
327	1737	1557
328	1740	1550
329	1745	1544
330	1748	1537
331	1752	1530
332	1760	1528
333	1764	1521
334	1768	1514
335	1771	1508
336	1776	1502
337	1779	1495
338	1783	1489
339	1787	1482
340	1791	1476
341	1795	1469
342	1799	1463
343	1802	1456
344	1807	1451
345	1810	1444
346	1814	1438
347	1817	1431
348	1820	1424
349	1824	1418
350	1828	1411
351	1832	1405
352	1836	1399
353	1841	1393
354	1845	1388
355	1850	1382
356	1854	1376
357	1860	1372
358	1864	1366
359	1869	1360
360	1875	1355
361	1880	1350
362	1884	1344
363	1890	1340
364	1896	1335
365	1904	1332
366	1908	1326
367	1913	1320
368	1917	1314
369	1921	1308
370	1925	1302
371	1928	1296
372	1932	1289
373	1938	1285
374	1942	1279
375	1946	1273
376	1950	1267
377	1957	1263
378	1961	1257
379	1972	1256
380	1976	1250
381	1980	1244
382	1983	1237
383	1988	1232
384	1992	1226
385	1995	1220
386	1999	1214
387	2004	1208
388	2007	1202
389	2011	1196
390	2015	1190
391	2019	1185
392	2023	1178
393	2026	1172
394	2030	1167
395	2034	1161
396	2038	1155
397	2042	1149
398	2045	1143
399	2050	1137
400	2054	1132
401	2058	1126
402	2061	1120
403	2065	1114
404	2070	1109
405	2073	1103
406	2076	1096
407	2079	1090
408	2083	1085
409	2087	1079
410	2091	1073
411	2094	1067
412	2098	1061
413	2103	1056
414	2106	1050
415	2110	1045
416	2114	1039
417	2118	1034
418	2122	1028
419	2126	1022
420	2130	1017
421	2134	1011
422	2138	1005
423	2142	1000
424	2145	994
425	2150	989
426	2153	983
427	2157	977
428	2161	972
429	2166	967
430	2169	961
431	2173	955
432	2177	950
433	2182	945
434	2185	939
435	2189	934
436	2193	928
437	2198	923
438	2202	918
439	2206	912
440	2210	907
441	2214	901
442	2218	896
443	2222	890
444	2226	885
445	2230	880
446	2234	874
447	2238	869
448	2241	863
449	2246	858
450	2250	853
451	2253	847
452	2257	842
453	2261	836
454	2265	831
455	2269	826
456	2273	820
457	2277	815
458	2281	810
459	2285	804
460	2288	799
461	2292	793
462	2297	789
463	2301	783
464	2304	778
465	2308	772
466	2313	767
467	2316	762
468	2320	757
469	2324	751
470	2329	746
471	2332	741
472	2336	736
473	2340	730
474	2345	725
475	2349	720
476	2353	715
477	2359	710
478	2365	706
479	2368	700
480	2375	696
481	2380	691
482	2403	691
483	2406	686
484	2412	681
485	2415	675
486	2419	670
487	2423	665
488	2428	660
489	2432	655
490	2435	649
491	2439	644
492	2444	639
493	2447	634
494	2451	628
495	2454	623
496	2459	618
497	2464	613
498	2468	608
499	2471	603
500	2476	598
501	2479	592
502	2483	587
503	2486	582
504	2492	577
505	2495	572
506	2499	567
507	2503	561
508	2508	556
509	2512	551
510	2516	546
511	2519	541
512	2524	536
513	2528	531
514	2531	526
515	2535	520
516	2539	515
517	2543	510
518	2547	505
519	2550	500
520	2554	495
521	2558	490
522	2562	484
523	2565	479
524	2569	474
525	2573	469
526	2577	464
527	2581	459
528	2585	454
529	2590	449
530	2594	444
531	2597	439
532	2601	434
533	2606	429
534	2610	424
535	2614	419
536	2618	414
537	2622	409
538	2625	404
539	2629	399
540	2633	394
541	2638	389
542	2642	384
543	2646	379
544	2649	374
545	2654	369
546	2657	364
547	2661	359
548	2665	354
549	2669	349
550	2674	344
551	2677	339
552	2681	334
553	2685	329
554	2689	324
555	2693	319
556	2697	314
557	2701	309
558	2705	304
559	2709	299
560	2712	294
561	2716	290
562	2721	285
563	2725	280
564	2728	275
565	2733	270
566	2736	265
567	2740	260
568	2744	255
569	2747	250
570	2752	245
571	2756	240
572	2760	236
573	2763	231
574	2768	226
575	2771	221
576	2775	216
577	2779	211
578	2784	206
579	2787	201
580	2791	196
581	2794	192
582	2799	187
583	2803	182
584	2806	177
585	2810	172
586	2814	167
587	2818	162
588	2822	158
589	2825	153
590	2829	148
591	2833	143
592	2837	138
593	2841	133
594	2844	129
595	2849	124
596	2853	119
597	2856	114
598	2860	109
599	2865	105
600	2869	100
601	2872	95
602	2876	90
603	2880	85
604	2884	81
605	2887	76
606	2891	71
607	2894	66
608	2898	61
609	2901	57
610	2905	52
611	2911	47
612	2914	42
613	2918	38
614	2922	33
615	2926	28
616	2930	23
617	2934	18
618	2938	14
619	2941	9
620	2949	4
621	2954	0
