iter	Logloss
321	0.6234579926
322	0.6234077227
323	0.6232736238
324	0.6232423824
325	0.6231705762
326	0.6230726853
327	0.6230370772
328	0.6229305974
329	0.6228994085
330	0.6227988981
331	0.6227536358
332	0.6226854009
333	0.6226235814
334	0.6225643962
335	0.6224928662
336	0.6224315385
337	0.6223802672
338	0.6223269856
339	0.6222692918
340	0.6222298207
341	0.6221480314
342	0.6220605783
343	0.6219947053
344	0.6219551834
345	0.6219069178
346	0.6218639534
347	0.6217852257
348	0.6217271507
349	0.6216664325
350	0.6216119294
351	0.6215526575
352	0.6214808528
353	0.6214381906
354	0.6213704624
355	0.6213268542
356	0.6212657078
357	0.6211893451
358	0.6211355385
359	0.621042749
360	0.6209963853
361	0.6209657548
362	0.6209135672
363	0.6208596435
364	0.6207897293
365	0.6207355215
366	0.6206558187
367	0.6205933176
368	0.6204919331
369	0.6204380497
370	0.6203813389
371	0.620318636
372	0.6202563624
373	0.6202039751
374	0.6201683037
375	0.620093137
376	0.6200537881
377	0.6200025385
378	0.6199518889
379	0.6198993442
380	0.6198298995
381	0.6198077385
382	0.6197759422
383	0.6197281754
384	0.6196795093
385	0.6196064953
386	0.6195671494
387	0.619530673
388	0.6194810501
389	0.6194493968
390	0.6193964355
391	0.6193288595
392	0.6192446392
393	0.6192080993
394	0.6191643788
395	0.6190997518
396	0.6190198579
397	0.618970695
398	0.6188972334
399	0.6188403803
400	0.6188137184
401	0.6187486512
402	0.6187206013
403	0.6186545832
404	0.6186009925
405	0.6185298441
406	0.6184883471
407	0.618395617
408	0.6183563061
409	0.6182945731
410	0.6182249857
411	0.6181788756
412	0.618102485
413	0.6180487439
414	0.6179784687
415	0.6179157899
416	0.6178563777
417	0.6178011387
418	0.617729329
419	0.617670142
420	0.6176186841
421	0.6175567101
422	0.6174993098
423	0.6174305835
424	0.6174152442
425	0.6173288102
426	0.6172621931
427	0.6172032999
428	0.6171398923
429	0.6170621984
430	0.6170465924
431	0.6169870701
432	0.6169376021
433	0.6168471152
434	0.6167416926
435	0.616681622
436	0.6166269827
437	0.6165191977
438	0.6164301474
439	0.6163817413
440	0.6162830976
441	0.6162384673
442	0.6161831813
443	0.6161302483
444	0.6160831663
445	0.6160272415
446	0.6159507473
447	0.6159016572
448	0.6158595772
449	0.6158196498
450	0.6157877931
451	0.6157329929
452	0.6156731557
453	0.6155894334
454	0.615552323
455	0.6155010444
456	0.6154491921
457	0.615395767
458	0.6153498098
459	0.6152796752
460	0.6152500225
461	0.6151916784
462	0.6151232654
463	0.6150461574
464	0.6149654957
465	0.6149119027
466	0.6148774412
467	0.6148354929
468	0.6147857135
469	0.614732321
470	0.6146993843
471	0.614650595
472	0.6146140829
473	0.6145663968
474	0.614510493
475	0.6144537415
476	0.6143952901
477	0.6142877182
478	0.6142488409
479	0.6141609606
480	0.6141224309
481	0.6140730957
482	0.6140213453
483	0.6139618997
484	0.6139099702
485	0.6138346373
486	0.6138005879
487	0.613731656
488	0.6137105258
489	0.6136516447
490	0.6136105635
491	0.613569754
492	0.6134969695
493	0.6134453367
494	0.6134174868
495	0.6133676065
496	0.613306014
497	0.6132516558
498	0.6132161424
499	0.6131326204
500	0.6130600871
501	0.612985889
502	0.6129270354
503	0.6128905652
504	0.6128561535
505	0.6128207517
506	0.6127824465
507	0.6127046083
508	0.6126532798
509	0.612604049
510	0.6125553308
511	0.6125087077
512	0.6124382221
513	0.6123954963
514	0.6123529567
515	0.6123241929
516	0.6122846132
517	0.6122240029
518	0.6121598358
519	0.6120917253
520	0.6120593754
521	0.6120134197
522	0.6119606966
523	0.6118770266
524	0.6118533835
525	0.6118180248
526	0.6117866069
527	0.6117414445
528	0.6117096474
529	0.6116164141
530	0.6115451152
531	0.6115048264
532	0.6114466825
533	0.6113728068
534	0.611306734
535	0.6112370613
536	0.6111603909
537	0.6111390098
538	0.6110819913
539	0.6110042137
540	0.610957365
541	0.6108813883
542	0.610832535
543	0.6107868367
544	0.6107082798
545	0.6106807836
546	0.6106412469
547	0.6105682351
548	0.6104995417
549	0.6104418778
550	0.6103949833
551	0.6103310628
552	0.6102928595
553	0.6102734813
554	0.6102203551
555	0.6101483329
556	0.6100883445
557	0.6100353165
558	0.6099998885
559	0.6099405405
560	0.609893464
561	0.6098189492
562	0.6097716728
563	0.6097069791
564	0.6096710327
565	0.6096149342
566	0.6095622528
567	0.6094825053
568	0.6094220837
569	0.609386714
570	0.6093301445
571	0.6092646052
572	0.6091908441
573	0.6091157301
574	0.6090472329
575	0.6089785118
576	0.6089092462
577	0.6088132116
578	0.6087308801
579	0.6086828279
580	0.6086254979
581	0.608563581
582	0.6085322957
583	0.6084657929
584	0.6084140697
585	0.6083818434
586	0.6083290959
587	0.6082625355
588	0.6082119975
589	0.6081364047
590	0.6080903352
591	0.6080205456
592	0.6079332095
593	0.6078594953
594	0.6077912394
595	0.6077113533
596	0.6076620006
597	0.6075698648
598	0.6075040342
599	0.6074431452
600	0.6073960308
601	0.6073409625
602	0.6072732917
603	0.6071840815
604	0.6071334942
605	0.6070807229
606	0.6070358382
607	0.6069994753
608	0.6069665267
609	0.6069100385
610	0.6068489885
611	0.6068065229
612	0.6067362417
613	0.6066735092
614	0.6066120885
615	0.6065421874
616	0.60646931
617	0.6064042455
618	0.6063383683
619	0.6062669574
620	0.6062221313
621	0.6061859243
